卡片名稱,卡片編號,數量
日向 翔陽,HV-D01-001,0
影山 飛雄,HV-D01-002,0
月島 蛍,HV-D01-003,0
山口 忠,HV-D01-004,0
西谷 夕,HV-D01-005,2
田中 龍之介,HV-D01-006,0
縁下 力,HV-D01-007,0
澤村 大地,HV-D01-008,0
菅原 孝支,HV-D01-009,3
東峰 旭,HV-D01-010,0
バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動),HV-D01-011,1
ブロード攻撃 (Broad Attack / 廣域攻擊),HV-D01-012,1
日向 翔陽,HV-P01-001,0
日向 翔陽,HV-P01-002,3
日向 翔陽,HV-P01-003,3
日向 翔陽,HV-P01-004,4
影山 飛雄,HV-P01-005,0
影山 飛雄,HV-P01-006,4
影山 飛雄,HV-P01-007,6
月島 螢,HV-P01-008,0
月島 螢,HV-P01-009,0
山口 忠,HV-P01-010,0
西谷 夕,HV-P01-011,5
田中 龍之介,HV-P01-012,0
緣下 力,HV-P01-013,0
澤村 大地,HV-P01-014,0
菅原 孝支,HV-P01-015,0
東峰 旭,HV-P01-016,0
日向・孤爪,HV-P01-072,0
月島・黒尾,HV-P01-073,0
烏養 一繋,HV-P01-074,2
清水 潔子,HV-P01-075,0
加油,HV-P01-076,1
拼命向前衝,HV-P01-077,1
開放式進攻,HV-P01-078,2
我可沒有 1mm 認為光靠我一人就能獲勝,HV-P01-079,0
日向 翔陽,HV-PR-001,2
影山 飛雄,HV-PR-002,0
日向 翔陽,HV-PR-003,0
影山 飛雄,HV-PR-004,0
